seller_id,seller_city,total_outcome,Rolling_Total
0791d9fc1e30678ecf03d3e55fa108d3,belo horizonte,842,19971.15
080102cd0a76b09e0dcf55fcacc60e05,belo horizonte,5716.78,25687.93
08d1c9478fb0d7d7fcac9c0da4e82fc7,belo horizonte,538,26225.93
0b46f784306be7200ca1700aa55d819f,belo horizonte,19.9,26245.829999999998
17998cf586426bf0f2c3726cb0a4b211,belo horizonte,69.8,26315.63
1838dd9b8977065acf51d95e0053ea7a,belo horizonte,2820.3,29135.93
1c742ac33582852aaf3bcfbf5893abcf,belo horizonte,97.9,29233.83
1d953075c2f0dd990bacf27b83b330f1,belo horizonte,59,29292.83
229c3efbfb0ea2058de4ccdfbc3d784a,belo horizonte,15744,45036.83
22a23e5ac7061fc538cc2a019afaaf16,belo horizonte,95,45131.83
276677b5d08786d5dce7c2149dcce48b,belo horizonte,3522,48653.83
282f23a9769b2690c5dda22e316f9941,belo horizonte,6505.08,55158.91
289cdb325fb7e7f891c38608bf9e0962,belo horizonte,13544.95,68703.86
28a26ebce31d5918b181ede016fd693b,belo horizonte,29.9,68733.76
2a1348e9addc1af5aaa619b1a3679d6b,belo horizonte,2843,71576.76
2a84855fd20af891be03bc5924d2b453,belo horizonte,15819.1,87395.86
2bd05d410a8fd26dc4184a15f4f2f588,belo horizonte,1316.73,88712.59
2c00c85d30361cd2ced2969cffbbffa3,belo horizonte,49.8,88762.39
2c43fb513632d29b3b58df74816f1b06,belo horizonte,858,89620.39
2e3be8a987a30d7544dbbda6861cc14e,belo horizonte,4430.84,94051.23
3a490ba60afa30ece0e7d50cfe74a4f0,belo horizonte,1529.2,95580.43000000001
3afc536624bc2e65bddfb5db33cc01f3,belo horizonte,312,95892.43000000001
403aa86912527d730337ffcb0fb096ab,belo horizonte,8959.89,104852.32
4049512728d969bec69f84088b012416,belo horizonte,389.84,105242.16
41ab63a91b8b264e8c8780368bf1dd5b,belo horizonte,2571.95,107814.11
4d232b78ab7ef10393dc3807d827bc0d,belo horizonte,1475,109289.11
4d6fb82c629c7a5028bfd973c07b05e0,belo horizonte,278,109567.11
4e2627090e6e5b9fabba883a37897683,belo horizonte,199.5,109766.61
4f1f1c8666cdb6442f775c4e8caed465,belo horizonte,944.98,110711.59
51e0557bc7b86de13e946c60ee91ce39,belo horizonte,45.8,110757.39
539ed9e19811677513447759be5eccfc,belo horizonte,32.83,110790.22
5415337f1863452476d42d9f14a16a61,belo horizonte,44.9,110835.12
54aa8463e87776b5612f4bdc4bd5d4de,belo horizonte,649.3,111484.42
562f8cfc51f265411f487d07e9c40e7f,belo horizonte,766.92,112251.34
6624bc09786f0e41ae48dfc5eeb1a9e2,belo horizonte,89.54,112340.88
66922902710d126a0e7d26b0e3805106,belo horizonte,14362.3,126703.18
6b9b80d53ba3676eafe60268a810b5a1,belo horizonte,882.7,127585.88
6cd68b3ed6d59aaa9fece558ad360c0a,belo horizonte,11188.57,138774.45
6df688df543f90e9b38f4319e75a9d88,belo horizonte,1949.96,140724.41
70849ca4f400aaabb62cb7462a6f1428,belo horizonte,909.58,141633.99
7e26c750b4cb9f6766f58265ff9ebe95,belo horizonte,1344.3,142978.29
7ea5bfa6c340f58f8e71fc1f0412b0d6,belo horizonte,11002.89,153981.18
85d9eb9ddc5d00ca9336a2219c97bb13,belo horizonte,15415.24,169396.42
8c3b533c63cca56240f94f1e3a6b18ef,belo horizonte,3312.16,172708.58
93dc87703c046b603023e75222018b45,belo horizonte,8517.35,181225.93
9fc70243fb26800cba56e8f014797004,belo horizonte,466.6,181692.53
aae5953b9edddf14749c0d65d60eb4b9,belo horizonte,173,181865.53
b080809eaacb49e5ca07290981472431,belo horizonte,424,182289.53
b45d7ebfb7378630f1bcd74b6ff86ff7,belo horizonte,1007.5,183297.03
ba6b68b55fe8704377a7d43c8e5c0185,belo horizonte,739.77,184036.8
bafc5aa11e413978be29040f51342e70,belo horizonte,1679.55,185716.35
c7dcd301ecfe5ab7f778ac172cf74be7,belo horizonte,457.69,186174.04
d180e07dc1e58c31c3f0cd599dc4d945,belo horizonte,58.8,186232.84
d2572f31e9023e9850ef986a636ff9bf,belo horizonte,279,186511.84
daeb5653dd96c1b11860f72209795012,belo horizonte,2305.9,188817.74
dbec9a0a7efeff029d4d9dce7dc4cc95,belo horizonte,1170,189987.74
dc64d75cc406bb0697be983831430e60,belo horizonte,813,190800.74
dd2bdf855a9172734fbc3744021ae9b9,belo horizonte,10816.7,201617.44
e560e4022d8f7aebf155db95946c5c0f,belo horizonte,780,202397.44
e628d4a53c109f09ca88098338b3a3f5,belo horizonte,285,202682.44
e76ecc7e9a1a1e3c6df9d2a8261c423d,belo horizonte,20,202702.44
ead2bab70821ea148476ae9bc08548ac,belo horizonte,412.1,203114.54
fa18c782a4866d313cadab567097f8f1,belo horizonte,58.99,203173.53
fc906263ca5083d09dce42fe02247800,belo horizonte,4497.7,207671.23
13074f016982ff2bd6c58ced8682f000,bento goncalves,2116,2116
33cbbec1e7e1044aaf11d152172c776f,bento goncalves,730.67,2846.67
78813699ffac347fe27dba345a5f1551,bento goncalves,152.42,2999.09
582d4f8675b945722eda7c0cb61ba4c7,bertioga,4702.96,4702.96
0df3984f9dfb3d49ac6366acbd3bbb85,betim,10021.49,10021.49
17ca9b9e9b9ef8fdb529001b49ebb50f,betim,9754.83,19776.32
4e06067cc08b3f41d837768d392c3ee3,betim,941.72,20718.04
aa8af66c623d7d544dfe4bb85b5ebe3b,betim,99,20817.04
bba74270a87732727b5a3b4fd9ac1c39,betim,6001.59,26818.63
1dcfa3835714681d4ba4a93bc1e0fd41,birigui,1278.5,1278.5
5d505d2298ad549e4e4e835562fa0c1e,birigui,249.8,1528.3
69b5eaa096c3f9d1e5c398c597f567d6,birigui,938,2466.3
709e16e2b25c7474d980076c6bfc4806,birigui,5151.9,7618.2
76833248bbc0e65a0293ec62023e4396,birigui,2399.98,10018.18
9cad4b68bb993ee401a3c5aaa2bc26dd,birigui,649.3,10667.48
b05b432bf68945d4d9783f9e3ca29ee8,birigui,224.8,10892.279999999999
bc503e244f187939d10c92a5c8e378ce,birigui,637.67,11529.949999999999
bdf0d02d36a1d839d0c39c4a887cdd49,birigui,120,11649.949999999999
cd233f8bfa30ebfd651f47ee7d054951,birigui,79.9,11729.85
034b9387752bfa309f350a70cd45ffa3,blumenau,96,96
2f1e7b90e01d9f086cbcb301c0c3d406,blumenau,59,155
33cbda8716511e27e556dff9d8418bf2,blumenau,507.4,662.4
392353362d22cc2c236e1ee81ff19890,blumenau,288.7,951.0999999999999
4917cee8d902e13428c3ec4b1ca6f315,blumenau,5421.9,6373
6bbcb8924baf70b7fe2fe2097e8cd407,blumenau,2382.5,8755.5
8060d731897e33b5c5ae575ce1e209e1,blumenau,199.5,8955
8501d82f68d23148b6d78bb7c4a42037,blumenau,19.7,8974.699999999999
86ccac0b835037332a596a33b6949ee1,blumenau,16619.93,25594.63
8c16d1f32a54d92897cc437244442e1b,blumenau,5642.6,31237.23
8ed8ea9a57c862f2c18c2fe41f601d56,blumenau,3831.9,35069.13
913fd0ebba70bb919f7254a02239173c,blumenau,159.9,35229.03
91543f9849d68d023e17194926598543,blumenau,834,36063.03
9bcdfa7b615b3abb9461d9e3ad9886ae,blumenau,2126.07,38189.1
a478c7961d6a992065b24e63b366f90b,blumenau,1281.5,39470.6
b8578d2d823bd8e251f6fdd02b40902d,blumenau,1255.6,40726.2
bac692d6c0ed08467878018e6cc9c26c,blumenau,477,41203.2
ccbd753e6863fe7314dc6c0ca5a074e7,blumenau,495,41698.2
e732329483fd5f27367dd997b47f598a,blumenau,109.9,41808.1
e8ff5a6ceb895583033fc2a0f314e3c2,blumenau,139.89,41947.99
f9903dd0f812c7e771fcad47b6fff231,blumenau,1684.85,43632.840000000004
1b1ae47a313a825a7ccceb8e2e30fa9d,bocaiuva do sul,2243.9,2243.9
a00824eb9093d40e589b940ec45c4eb0,bofete,9399.97,9399.97
7c1fea10b5b006671d608b1d7c446ec4,boituva,423.6,423.6
9b76ad3d04236f76bc71c59470305e13,boituva,394.7,818.3
fc99f99385ae90f66f01733856fb88c9,boituva,89.9,908.2
96e5dc09087bad639b4ee193104ec2e5,bom jardim,101.9,101.9
87f3e35268860433e13d577825aada95,bom jesus dos perdoes,161.7,161.7
04308b1ee57b6625f47df1d56f00eedf,bombinhas,60130.6,60130.6
fac35d150712afb921ec59ac5f39bb11,bonfinopolis de minas,696,696
204b4e07bddef3c9b317f70189135b22,borda da mata,73.4,73.4
5b51032eddd242adc84c38acab88f23d,borda da mata,3280,3353.4
95f83f51203c626648c875dd41874c7f,borda da mata,3217.46,6570.86
dbc22125167c298ef99da25668e1011f,borda da mata,33776.78,40347.64
02f623a8eb246f3c5f7c2f96462654e6,botucatu,6378,6378
082e0bf4cb865a6533b1e8e498cc0255,botucatu,2073.3,8451.3
b2c97074649f92197d9387d9033dda5f,botucatu,684.71,9136.01
eed78ac17f7f795a19a709745f00cd4e,botucatu,4349.5,13485.51
888faa8bfb0b159c37de6d898b961c31,braco do norte,2418.3,2418.3
51a04a8a6bdcb23deccc82b0b80742cf,braganca paulista,167.99,167.99
7b0df942f46435babab05d49b744b2c4,braganca paulista,22600.63,22768.620000000003
c7c7b2682c648339a0e9846bb1023a39,braganca paulista,168,22936.620000000003
e24fc9fcd865784fb25705606fe3dfe7,braganca paulista,12936,35872.62
f44bdc12aa39f5271f0b95f66cd4c289,braganca paulista,357.5,36230.12
191d55f7edb8524d525ed01b20fe32e8,brasilia,747,747
2493dc3f20131696a0ecdb9948051a8d,brasilia,504.38,1251.38
293dee954235e4e4e43f129313625ebe,brasilia,1778.92,3030.3
2a50b7ee5aebecc6fd0ff9784a4747d6,brasilia,199.8,3230.1
2addf05f476d0637864454e93ba673d5,brasilia,4552,7782.1
42bde9fef835393bb8a8849cb6b7f245,brasilia,7703,15485.1
432c37c9dfba871172ec162e20118b8c,brasilia,2968.87,18453.97
43b2c864251aa0ce4030c746984e088a,brasilia,94.8,18548.77
44073f8b7e41514de3b7815dd0237f4f,brasilia,18729.64,37278.409999999996
4a1917ef994878940e1fb03eeb787ad7,brasilia,768,38046.409999999996
5656537e588803a555b8eb41f07a944b,brasilia,8065.93,46112.34
6b333a05bf188ef3e1f1662a86bd9855,brasilia,3990.91,50103.25
7354220fb240bde543b3c40c060d41e7,brasilia,672,50775.25
75745ef7bc7d4f3ea3380f6f5303f514,brasilia,228.4,51003.65
768de2a4fc06aacecb9a586ccc30746a,brasilia,475.6,51479.25
77e4abfd739aed9c46480f90f81c0eb4,brasilia,3736.99,55216.24
7ecd59e5e20407131822c1a68ac59c1f,brasilia,1466.71,56682.95
89a51f50b8095ea78d5768f34c13a76f,brasilia,677.16,57360.11
b5abf4f36adc043117b4fca82c22984c,brasilia,1247.8,58607.909999999996
b9ec22de23f18567de0e09d776ca0309,brasilia,341.98,58949.89
bd0389da23d89b726abf911cccc54596,brasilia,7472.16,66422.05
bdae679a9b282249bc23b9b69dae9a99,brasilia,663.15,67085.2
c9a06ece156bb057372c68718ec8909b,brasilia,4688.9,71774.1
d3674f271c91f824f82d24d92011f669,brasilia,1718.3,73492.4
e38db885400cd35c71dfd162f2c1dbcf,brasilia,2066.8,75559.2
e8a85b5f3df47be0984c55fd4064dbb4,brasilia,743,76302.2
edd066cd02126d7800f9b66e980e9931,brasilia,987.7,77289.9
f3b80352b986ab4d1057a4b724be19d0,brasilia,10505.1,87795
4170f6a9367e6b5d6401d03ce6d54569,brasilia df,568.78,568.78
e49c26c3edfa46d227d5121a6b6e4d37,brejao,3654.25,3654.25
6c9875b2f94ba781186f0c1aed8d1687,brotas,25,25
262237171f48e85819065498cac80d7b,brusque,599,599
609e1a9a6c2539919b8205cf7c4e6ff0,brusque,6595.23,7194.23
88cd3681e0a2ba85e190f7d817629c4c,brusque,180,7374.23
972d0f9cf61b499a4812cf0bfa3ad3c4,brusque,8089.29,15463.52
ad97a199236354e53fcd91a5a913e9a2,brusque,13205.9,28669.42
c33847515fa6305ce6feb1e818569f13,brusque,15519.85,44189.27
cac4e0bc1a3269fa2b6ea5e763f6115b,brusque,57.88,44247.15
daf565f087a52def0fd5c5825b3661bc,brusque,813.9,45061.05
e5f9e61ceb5f523cc966e0f34095032f,brusque,2238,47299.05
f18112da765e0971ca5d510dec322bdd,brusque,327.8,47626.85
2c4c47cb51acd5ea5db5e0ae0e26542a,buritama,2575.9,2575.9
8eb88b0acb3f90a717ad659221471fa7,cacador,119.8,119.8
dcf3755cefcdc158ad0b7bdde51e871b,cachoeira do sul,269.7,269.7
4e92348462c75b6c842b994ce84a0ed4,cachoeirinha,69.9,69.9
dc317f341ab0e22f39acbd9dbf9b4a1f,cachoeirinha,18988.4,19058.300000000003
f205b1a3ca9a34e0f8a228bae6e4c7b3,cachoeirinha,1088,20146.300000000003
2c9005d8043aff18b8557ffb7b13cda4,cachoeiro de itapemirim,109.9,109.9
2f73e04d12cdf0c945ded66bb3fcf6c7,cachoeiro de itapemirim,1359,1468.9
31eec405c9bb71dec8e2629a92e764fa,cachoeiro de itapemirim,256.89,1725.79
dd4d95ba2d15c071e6c695e2ef6ce169,cachoeiro de itapemirim,1748,3473.79
232a6014e7b10cba61c6c2b2ea6bb4b0,cafelandia,3919.87,3919.87
a254c682cc01e119f83530446f1df9a9,cafelandia,569.4,4489.2699999999995
40536e7ca18e1bce252828e5876466cc,caieiras,463.96,463.96
bc39d8938f90a3a2b98193723ed59774,cajamar,306.8,306.8
c003204e1ab016dfa150abc119207b24,cajamar,25108.09,25414.89
52f976b17ea7f2f087f56dcc419328f6,california,7630,7630
9c690ceacd5c66731bf443ea810195cb,camanducaia,871.8,871.8
7402d13c03a7e91366337cd1de471144,cambe,528.38,528.38
