product_category_name_english,customer_city,deal_per_location_category
furniture_decor,araruama,89
telephony,ubatuba,87
cool_stuff,mogi mirim,87
watches_gifts,ilheus,87
cool_stuff,cubatao,87
pet_shop,conselheiro lafaiete,87
sports_leisure,cacapava,86
books_general_interest,viamao,85
garden_tools,varzea paulista,85
musical_instruments,lauro de freitas,85
garden_tools,jau,84
musical_instruments,cachoeirinha,84
sports_leisure,barretos,84
watches_gifts,tatui,83
computers_accessories,mairipora,83
bed_bath_table,rio branco,82
bed_bath_table,catanduva,82
watches_gifts,jaguariuna,81
telephony,colatina,81
art,caruaru,81
bed_bath_table,santa cruz do sul,80
bed_bath_table,sao sebastiao,78
perfumery,manhuacu,78
consoles_games,paracatu,77
cool_stuff,linhares,77
health_beauty,aruja,77
auto,votuporanga,76
industry_commerce_and_business,toledo,76
electronics,guarapuava,76
health_beauty,colombo,75
furniture_living_room,campina grande,75
bed_bath_table,camacari,75
fashion_bags_accessories,sertaozinho,74
pet_shop,sao joao del rei,74
market_place,pirassununga,74
telephony,pinhais,74
furniture_decor,muriae,74
fashion_shoes,guarapari,74
baby,dourados,74
bed_bath_table,amparo,74
construction_tools_construction,rondonopolis,73
watches_gifts,paranagua,73
stationery,caratinga,71
bed_bath_table,parnamirim,70
stationery,avare,70
musical_instruments,petrolina,69
furniture_decor,uba,68
computers_accessories,cruzeiro,68
fashion_bags_accessories,valenca,67
housewares,tubarao,67
furniture_decor,ituiutaba,67
furniture_decor,itabuna,67
watches_gifts,queimados,66
furniture_decor,pato branco,66
health_beauty,lagoa santa,66
health_beauty,itapeva,66
bed_bath_table,ijui,66
computers_accessories,bage,66
small_appliances,apucarana,66
auto,ouro preto,65
health_beauty,araucaria,65
furniture_decor,peruibe,64
watches_gifts,itauna,64
toys,itaborai,64
garden_tools,concordia,64
furniture_decor,campo mourao,64
watches_gifts,timoteo,63
art,erechim,63
health_beauty,brusque,63
sports_leisure,bento goncalves,63
auto,macapa,62
telephony,lins,62
watches_gifts,tupa,61
sports_leisure,itupeva,61
auto,jatai,60
telephony,jaboticabal,60
computers_accessories,itapira,60
bed_bath_table,cosmopolis,60
watches_gifts,bebedouro,60
electronics,alvorada,60
fashion_bags_accessories,joao monlevade,59
furniture_decor,francisco beltrao,59
cool_stuff,barreiras,59
auto,nova serrana,58
stationery,matao,58
home_construction,lajeado,58
health_beauty,fernandopolis,58
housewares,araguari,58
bed_bath_table,unai,57
bed_bath_table,paranavai,57
auto,embu-guacu,57
,sinop,56
telephony,santo angelo,56
garden_tools,patrocinio,56
auto,boituva,56
fashion_bags_accessories,videira,55
electronics,uruguaiana,55
telephony,barra do pirai,55
stationery,itaperuna,54
computers_accessories,leme,53
furniture_decor,bertioga,53
sports_leisure,alfenas,53
computers_accessories,tres coracoes,52
cool_stuff,guaira,52
kitchen_dining_laundry_garden_furniture,saquarema,51
toys,sao jose do rio pardo,51
health_beauty,porto seguro,51
auto,ibirite,51
home_construction,campo limpo paulista,51
telephony,boa vista,51
consoles_games,andradina,51
stationery,sao pedro da aldeia,50
home_construction,sao mateus,50
cool_stuff,registro,50
electronics,pedro leopoldo,50
watches_gifts,paulista,50
health_beauty,itaguai,50
health_beauty,ilhabela,50
bed_bath_table,curvelo,50
fashion_bags_accessories,artur nogueira,50
cool_stuff,vespasiano,49
health_beauty,vargem grande paulista,49
office_furniture,sapucaia do sul,49
furniture_decor,pirapora,49
telephony,juazeiro,49
housewares,varzea grande,48
housewares,sao miguel do oeste,48
stationery,penapolis,48
computers_accessories,itapema,48
luggage_accessories,uniao da vitoria,47
food,tres lagoas,47
furniture_decor,sao bento do sul,47
electronics,santarem,47
garden_tools,ponte nova,47
computers_accessories,extrema,47
housewares,vassouras,46
perfumery,tiete,46
cool_stuff,passos,46
computers_accessories,mongagua,46
perfumery,louveira,46
furniture_decor,lencois paulista,46
sports_leisure,itumbiara,46
telephony,esteio,46
computers_accessories,paulo afonso,45
furniture_decor,ouro branco,45
housewares,nova odessa,45
electronics,japeri,45
books_technical,capao da canoa,45
computers_accessories,sabara,44
watches_gifts,imperatriz,44
auto,cianorte,44
health_beauty,rio do sul,43
furniture_decor,luis eduardo magalhaes,43
home_confort,coronel fabriciano,43
stationery,campo largo,43
toys,bom despacho,43
furniture_living_room,alagoinhas,43
pet_shop,valparaiso de goias,42
home_construction,monte mor,42
books_general_interest,gaspar,42
computers_accessories,eunapolis,42
home_construction,catalao,42
cool_stuff,campo bom,42
watches_gifts,caldas novas,42
toys,cacador,42
electronics,aracruz,42
bed_bath_table,seropedica,41
computers_accessories,sao joaquim da barra,41
furniture_decor,para de minas,41
health_beauty,osorio,41
perfumery,olimpia,41
telephony,maracanau,41
sports_leisure,guaxupe,41
garden_tools,arapongas,41
health_beauty,araguaina,41
toys,umuarama,40
computers_accessories,tres rios,40
sports_leisure,tremembe,40
luggage_accessories,mococa,40
cool_stuff,guanambi,40
computers_accessories,alegrete,40
computers_accessories,sao lourenco,39
cool_stuff,pedreira,39
cool_stuff,mossoro,39
baby,juazeiro do norte,39
luggage_accessories,itarare,39
toys,formosa,39
auto,arraial do cabo,39
bed_bath_table,santo antonio de padua,38
bed_bath_table,santa rita do sapucai,38
telephony,santa cruz do rio pardo,38
baby,dracena,38
auto,almirante tamandare,38
books_technical,adamantina,38
fashion_male_clothing,telemaco borba,37
perfumery,taquaritinga,37
cool_stuff,sao sebastiao do paraiso,37
fashion_male_clothing,guaiba,37
baby,garanhuns,37
watches_gifts,caucaia,37
perfumery,sobral,36
bed_bath_table,santa rosa,36
garden_tools,paracambi,36
industry_commerce_and_business,orlandia,36
health_beauty,navegantes,36
cool_stuff,luziania,36
bed_bath_table,jequie,36
furniture_decor,imbituba,36
garden_tools,ibiuna,36
garden_tools,cataguases,36
auto,camaragibe,36
computers_accessories,xanxere,35
pet_shop,santa fe do sul,35
garden_tools,congonhas,35
stationery,cerquilho,35
stationery,capivari,35
bed_bath_table,cachoeira do sul,35
bed_bath_table,barra do garcas,35
bed_bath_table,rolandia,34
sports_leisure,presidente venceslau,34
telephony,parauapebas,34
computers_accessories,montenegro,34
fashion_bags_accessories,monte alto,34
computers,mariana,34
bed_bath_table,marechal candido rondon,34
health_beauty,ituverava,34
furniture_decor,formiga,34
sports_leisure,cruz alta,34
,corumba,34
computers_accessories,arapiraca,34
sports_leisure,santo antonio de jesus,33
stationery,santiago,33
furniture_decor,santa isabel,33
computers_accessories,porto ferreira,33
auto,matinhos,33
luggage_accessories,itapolis,33
watches_gifts,itabirito,33
fixed_telephony,garca,33
bed_bath_table,capao bonito,33
auto,camboriu,33
health_beauty,brumadinho,33
bed_bath_table,promissao,32
consoles_games,miguel pereira,32
office_furniture,jales,32
sports_leisure,gramado,32
auto,dois vizinhos,32
health_beauty,carangola,32
cool_stuff,barra bonita,32
stationery,santa barbara,31
books_technical,primavera do leste,31
bed_bath_table,mirassol,31
housewares,mafra,31
computers_accessories,garopaba,31
computers_accessories,caceres,31
computers_accessories,batatais,31
watches_gifts,viana,30
bed_bath_table,trindade,30
pet_shop,tijucas,30
computers_accessories,teixeira de freitas,30
computers_accessories,sapiranga,30
perfumery,rio bonito,30
,piumhii,30
sports_leisure,mineiros,30
watches_gifts,lucas do rio verde,30
bed_bath_table,frutal,30
food,fazenda rio grande,30
bed_bath_table,cravinhos,30
health_beauty,coromandel,30
garden_tools,castro,30
furniture_decor,cambe,30
baby,armacao dos buzios,30
housewares,santana do livramento,29
bed_bath_table,mairinque,29
construction_tools_construction,indaial,29
luggage_accessories,diamantina,29
electronics,brumado,29
garden_tools,alem paraiba,29
auto,tramandai,28
stationery,salinas,28
health_beauty,nanuque,28
furniture_decor,janauba,28
health_beauty,icara,28
perfumery,guapore,28
sports_leisure,estancia velha,28
fashion_bags_accessories,canoinhas,28
health_beauty,caete,28
home_construction,arcos,28
furniture_decor,venancio aires,27
housewares,rio grande da serra,27
toys,pinhalzinho,27
telephony,joacaba,27
toys,gurupi,27
agro_industry_and_commerce,farroupilha,27
health_beauty,campos do jordao,27
books_general_interest,cachoeira paulista,27
bed_bath_table,alto paraiso de goias,27
baby,altamira,27
signaling_and_security,veranopolis,26
pet_shop,vacaria,26
construction_tools_safety,presidente epitacio,26
toys,porto feliz,26
sports_leisure,parnaiba,26
housewares,januaria,26
,ilha solteira,26
fashion_bags_accessories,iguaba grande,26
auto,holambra,26
baby,dias d'avila,26
health_beauty,cambui,26
housewares,aguas lindas de goias,26
health_beauty,viradouro,25
stationery,sorriso,25
home_appliances,simoes filho,25
office_furniture,senhor do bonfim,25
watches_gifts,sao gotardo,25
stationery,pitangui,25
furniture_decor,piraju,25
bed_bath_table,piracaia,25
fashion_bags_accessories,piedade,25
telephony,monte carmelo,25
books_technical,medianeira,25
industry_commerce_and_business,marau,25
furniture_decor,juquitiba,25
furniture_decor,ibiruba,25
housewares,curitibanos,25
fashion_bags_accessories,cornelio procopio,25
,cordeiro,25
sports_leisure,castanhal,25
computers_accessories,bom jesus do itabapoana,25
small_appliances,aparecida,25
construction_tools_construction,aguas de lindoia,25
cool_stuff,tangara da serra,24
luggage_accessories,sao gabriel,24
baby,sao fidelis,24
furniture_decor,rancharia,24
fashion_bags_accessories,pompeia,24
health_beauty,pederneiras,24
furniture_decor,morrinhos,24
electronics,mandaguari,24
bed_bath_table,jacobina,24
sports_leisure,ibitinga,24
furniture_decor,campo novo do parecis,24
bed_bath_table,braco do norte,24
electronics,biguacu,24
computers_accessories,aracati,24
sports_leisure,vera cruz,23
toys,socorro,23
telephony,sarandi,23
housewares,sao joao nepomuceno,23
bed_bath_table,santos dumont,23
cool_stuff,ponta pora,23
health_beauty,paraty,23
toys,ouro fino,23
bed_bath_table,monte azul paulista,23
sports_leisure,machado,23
sports_leisure,laranjeiras do sul,23
furniture_decor,irece,23
stationery,irati,23
fashion_bags_accessories,guapimirim,23
health_beauty,goianesia,23
stationery,claudio,23
health_beauty,cicero dantas,23
computers_accessories,carazinho,23
office_furniture,candeias,23
housewares,cafelandia,23
health_beauty,cachoeiras de macacu,23
bed_bath_table,bonfim paulista,23
computers_accessories,venda nova do imigrante,22
telephony,timbo,22
sports_leisure,taquara,22
construction_tools_safety,santo anastacio,22
housewares,santa rita do passa quatro,22
computers_accessories,oliveira,22
furniture_decor,monte siao,22
cool_stuff,maraba,22
cool_stuff,laguna,22
telephony,guararapes,22
cool_stuff,cordeiropolis,22
health_beauty,casimiro de abreu,22
furniture_decor,cantagalo,22
furniture_decor,campos novos,22
watches_gifts,cabo de santo agostinho,22
fashion_bags_accessories,barrinha,22
furniture_decor,vilhena,21
,torres,21
bed_bath_table,tambau,21
watches_gifts,sao manuel,21
cool_stuff,sao francisco do sul,21
bed_bath_table,sacramento,21
electronics,rosario do sul,21
construction_tools_construction,quatro barras,21
housewares,palmital,21
furniture_decor,osvaldo cruz,21
toys,nova granada,21
health_beauty,jarinu,21
bed_bath_table,jacutinga,21
toys,eusebio,21
telephony,conchal,21
furniture_decor,cerqueira cesar,21
computers_accessories,carlos barbosa,21
electronics,campo belo,21
pet_shop,boa esperanca,21
agro_industry_and_commerce,ariquemes,21
auto,agua boa,21
musical_instruments,visconde do rio branco,20
housewares,tucurui,20
computers_accessories,tres pontas,20
sports_leisure,sao mateus do sul,20
cool_stuff,santo antonio de posse,20
watches_gifts,santa maria de jetiba,20
fashion_bags_accessories,picos,20
cool_stuff,paty do alferes,20
computers_accessories,paraiba do sul,20
computers_accessories,paraguacu paulista,20
telephony,paragominas,20
musical_instruments,novo horizonte,20
sports_leisure,morro agudo,20
toys,miracema,20
telephony,leopoldina,20
telephony,laranjal paulista,20
telephony,itabaiana,20
furniture_decor,iracemapolis,20
health_beauty,igrejinha,20
bed_bath_table,cruz das almas,20
furniture_decor,crato,20
telephony,capelinha,20
perfumery,balsas,20
agro_industry_and_commerce,ararangua,20
housewares,uruacu,19
health_beauty,sarzedo,19
housewares,sao francisco,19
health_beauty,santana do paraiso,19
bed_bath_table,santa rosa de viterbo,19
bed_bath_table,piuma,19
furniture_decor,pirai,19
health_beauty,pereira barreto,19
health_beauty,panambi,19
baby,nova venecia,19
home_appliances,marialva,19
computers_accessories,junqueiropolis,19
costruction_tools_garden,ji-parana,19
garden_tools,jaguariaiva,19
sports_leisure,itatiaia,19
watches_gifts,itapetinga,19
health_beauty,ipero,19
bed_bath_table,guanhaes,19
health_beauty,espirito santo do pinhal,19
auto,espera feliz,19
baby,dois irmaos,19
watches_gifts,canela,19
health_beauty,camaqua,19
,barra de sao joao,19
health_beauty,bariri,19
perfumery,barao de cocais,19
perfumery,bambui,19
computers_accessories,aguai,19
health_beauty,taquarituba,18
sports_leisure,taio,18
cool_stuff,senador canedo,18
bed_bath_table,sao sebastiao do cai,18
bed_bath_table,sao borja,18
garden_tools,santo antonio da patrulha,18
health_beauty,santana,18
computers_accessories,santa ines,18
cool_stuff,posse,18
art,penha,18
bed_bath_table,paraguacu,18
telephony,macatuba,18
consoles_games,lapa,18
telephony,juina,18
bed_bath_table,joao pinheiro,18
sports_leisure,itaporanga,18
books_technical,itaocara,18
perfumery,itajobi,18
sports_leisure,ipora,18
telephony,iguatu,18
auto,guacui,18
home_confort,floriano,18
garden_tools,conselheiro pena,18
garden_tools,charqueadas,18
watches_gifts,castelo,18
office_furniture,carmo do paranaiba,18
pet_shop,buritis,18
watches_gifts,bom jesus dos perdoes,18
telephony,bastos,18
sports_leisure,barra velha,18
sports_leisure,anchieta,18
bed_bath_table,americo brasiliense,18
stationery,alegre,18
toys,vitoria de santo antao,17
telephony,triunfo,17
baby,teutonia,17
garden_tools,serrinha,17
perfumery,serra negra,17
sports_leisure,sao luiz gonzaga,17
computers_accessories,santa vitoria,17
health_beauty,salgueiro,17
sports_leisure,redencao,17
cool_stuff,raposos,17
bed_bath_table,pitangueiras,17
garden_tools,pires do rio,17
fashion_bags_accessories,piraquara,17
sports_leisure,pirapora do bom jesus,17
auto,patos,17
sports_leisure,palmeira das missoes,17
signaling_and_security,nova prata,17
sports_leisure,natividade,17
sports_leisure,marataizes,17
electronics,jacarezinho,17
computers_accessories,itaqui,17
fashion_bags_accessories,ipojuca,17
cool_stuff,inhumas,17
furniture_decor,imbe,17
electronics,ibirama,17
housewares,forquilhinha,17
bed_bath_table,caxambu,17
electronics,capanema,17
housewares,candido mota,17
baby,bonito,17
bed_bath_table,bom jardim,17
watches_gifts,agudos,17
garden_tools,tupaciguara,16
cool_stuff,timon,16
bed_bath_table,sao joao da barra,16
home_appliances,sao francisco de itabapoana,16
garden_tools,santo antonio do monte,16
auto,santa cruz do capibaribe,16
telephony,santa adelia,16
bed_bath_table,rio negro,16
health_beauty,quirinopolis,16
telephony,presidente dutra,16
bed_bath_table,pirajui,16
housewares,pariquera-acu,16
cool_stuff,paranaiba,16
perfumery,paraisopolis,16
garden_tools,palmeira,16
consoles_games,novo gama,16
cool_stuff,nova era,16
fashion_bags_accessories,niquelandia,16
bed_bath_table,matias barbosa,16
toys,maracaju,16
sports_leisure,manhumirim,16
computers_accessories,ituporanga,16
cool_stuff,faxinal dos guedes,16
toys,estrela,16
garden_tools,esmeraldas,16
cool_stuff,cunha,16
computers_accessories,chapadao do sul,16
garden_tools,caxias,16
arts_and_craftmanship,carmo do rio claro,16
computers_accessories,cajati,16
computers,almenara,16
computers,sao lourenco do sul,15
housewares,sao lourenco da serra,15
christmas_supplies,santa vitoria do palmar,15
cool_stuff,santa maria da vitoria,15
stationery,quissama,15
bed_bath_table,pirapozinho,15
sports_leisure,pinheiral,15
cool_stuff,petrolandia,15
food,nossa senhora do socorro,15
pet_shop,mirandopolis,15
bed_bath_table,marituba,15
office_furniture,loanda,15
sports_leisure,jaguare,15
health_beauty,iturama,15
signaling_and_security,itanhandu,15
sports_leisure,italva,15
auto,ibipora,15
costruction_tools_garden,gravata,15
stationery,frederico westphalen,15
bed_bath_table,feliz,15
furniture_decor,embu,15
auto,eldorado do sul,15
bed_bath_table,divino,15
furniture_decor,conceicao do mato dentro,15
bed_bath_table,carmo,15
stationery,cangucu,15
cool_stuff,bombinhas,15
computers_accessories,barroso,15
computers_accessories,bandeirantes,15
health_beauty,araripina,15
bed_bath_table,aperibe,15
housewares,alta floresta,15
auto,treze tilias,14
telephony,tres de maio,14
perfumery,taiobeiras,14
housewares,sao simao,14
auto,sao pedro,14
auto,sao jose de ribamar,14
telephony,santo antonio da platina,14
christmas_supplies,santo amaro da imperatriz,14
garden_tools,salto de pirapora,14
sports_leisure,rio negrinho,14
bed_bath_table,raul soares,14
telephony,porto uniao,14
telephony,porangatu,14
musical_instruments,pontal,14
sports_leisure,pojuca,14
furniture_decor,pilar do sul,14
toys,parati,14
health_beauty,nova andradina,14
sports_leisure,mirassol d'oeste,14
bed_bath_table,miguelopolis,14
bed_bath_table,mendes,14
luggage_accessories,mantena,14
toys,mangaratiba,14
telephony,macaubas,14
furniture_decor,lagoa vermelha,14
pet_shop,jardinopolis,14
toys,ipiau,14
telephony,ipameri,14
toys,iguape,14
sports_leisure,igarassu,14
furniture_mattress_and_upholstery,ibate,14
home_construction,herval d'oeste,14
fashion_bags_accessories,guariba,14
perfumery,guaramirim,14
watches_gifts,fraiburgo,14
computers_accessories,flores da cunha,14
toys,descalvado,14
bed_bath_table,costa rica,14
bed_bath_table,conceicao de macabu,14
perfumery,cambara,14
health_beauty,buritizeiro,14
furniture_decor,brodowski,14
watches_gifts,bom jesus,14
cool_stuff,bacabal,14
bed_bath_table,astolfo dutra,14
housewares,assis chateaubriand,14
health_beauty,araquari,14
stationery,andradas,14
perfumery,andira,14
auto,aluminio,14
health_beauty,abreu e lima,14
telephony,abaetetuba,14
home_confort,vargem grande do sul,13
office_furniture,tres marias,13
fashion_bags_accessories,teodoro sampaio,13
construction_tools_construction,taquari,13
toys,tabapua,13
furniture_decor,sombrio,13
health_beauty,serrana,13
health_beauty,serra talhada,13
computers_accessories,sao miguel arcanjo,13
baby,sao lourenco da mata,13
bed_bath_table,sao jose do vale do rio preto,13
furniture_decor,sao joao,13
cool_stuff,sao goncalo do amarante,13
party_supplies,sao gabriel da palha,13
books_general_interest,santa helena,13
furniture_decor,santa gertrudes,13
housewares,rondon do para,13
sports_leisure,regente feijo,13
computers_accessories,quixada,13
industry_commerce_and_business,quata,13
fashion_bags_accessories,pompeu,13
health_beauty,paranapanema,13
sports_leisure,ouroeste,13
stationery,mata de sao joao,13
baby,limoeiro do norte,13
bed_bath_table,jose bonifacio,13
telephony,ivoti,13
telephony,itapipoca,13
electronics,itapecerica,13
cool_stuff,itamonte,13
health_beauty,ipua,13
computers_accessories,igarape,13
computers_accessories,guara,13
watches_gifts,engenheiro coelho,13
health_beauty,coxim,13
telephony,cesario lange,13
computers_accessories,celso ramos,13
furniture_decor,casa branca,13
sports_leisure,carandai,13
construction_tools_safety,cacoal,13
bed_bath_table,brotas,13
auto,bocaiuva,13
books_general_interest,belo jardim,13
baby,alvinopolis,13
bed_bath_table,virginopolis,12
cool_stuff,urupes,12
housewares,tres passos,12
cool_stuff,tapiratiba,12
garden_tools,tanabi,12
bed_bath_table,taguatinga,12
watches_gifts,sidrolandia,12
small_appliances,santo amaro,12
bed_bath_table,salesopolis,12
baby,rio paranaiba,12
computers_accessories,rio das pedras,12
computers_accessories,pradopolis,12
perfumery,parobe,12
,monte aprazivel,12
toys,montanha,12
perfumery,minacu,12
housewares,matozinhos,12
bed_bath_table,malacacheta,12
health_beauty,lucelia,12
furniture_decor,lagoa da prata,12
sports_leisure,jandaia do sul,12
telephony,itapiranga,12
stationery,itamaraju,12
telephony,itai,12
computers,ipira,12
furniture_decor,goioere,12
furniture_decor,goiana,12
bed_bath_table,floresta,12
computers_accessories,fartura,12
watches_gifts,estancia,12
electronics,espinosa,12
garden_tools,encantado,12
furniture_living_room,duartina,12
telephony,dois corregos,12
watches_gifts,correia pinto,12
home_appliances,coronel vivida,12
bed_bath_table,chavantes,12
computers_accessories,castilho,12
perfumery,carmo do cajuru,12
health_beauty,capinzal,12
electronics,capinopolis,12
cool_stuff,canarana,12
furniture_decor,cajazeiras,12
furniture_decor,buritama,12
books_general_interest,brejo santo,12
garden_tools,biritiba-mirim,12
,bezerros,12
bed_bath_table,aracoiaba da serra,12
auto,aparecida do taboado,12
telephony,aguas da prata,12
watches_gifts,abaete,12
perfumery,varzea da palma,11
cool_stuff,turmalina,11
garden_tools,teotonio vilela,11
office_furniture,tapejara,11
furniture_decor,taguai,11
auto,sobradinho,11
consoles_games,sao raimundo nonato,11
health_beauty,sao joaquim,11
stationery,sao joao batista,11
,santa teresa,11
housewares,santa cecilia,11
health_beauty,russas,11
office_furniture,ronda alta,11
bed_bath_table,rio brilhante,11
books_technical,querencia,11
garden_tools,prata,11
health_beauty,potirendaba,11
electronics,portao,11
home_appliances_2,pomerode,11
sports_leisure,planaltina,11
perfumery,piranguinho,11
housewares,piracanjuba,11
office_furniture,pedro de toledo,11
consoles_games,passa quatro,11
telephony,paraiso do tocantins,11
auto,paraibuna,11
stationery,papucaia,11
garden_tools,nova xavantina,11
cool_stuff,nova esperanca,11
bed_bath_table,mostardas,11
baby,mirai,11
sports_leisure,maravilha,11
telephony,maracai,11
computers_accessories,lagarto,11
cool_stuff,jequitinhonha,11
furniture_decor,itamarandiba,11
furniture_decor,itaiopolis,11
auto,icem,11
stationery,ibia,11
musical_instruments,ibaiti,11
auto,guararema,11
health_beauty,guarabira,11
sports_leisure,goitacazes,11
sports_leisure,goiatuba,11
computers_accessories,girua,11
computers_accessories,escada,11
watches_gifts,eloi mendes,11
baby,dourado,11
office_furniture,dom pedrito,11
auto,corinto,11
health_beauty,codo,11
telephony,cerro largo,11
bed_bath_table,catu,11
housewares,capitolio,11
sports_leisure,campo formoso,11
housewares,campina grande do sul,11
watches_gifts,caconde,11
cool_stuff,bom jesus da lapa,11
bed_bath_table,bom jardim de minas,11
auto,boa esperanca do sul,11
housewares,balneario picarras,11
health_beauty,baixo guandu,11
sports_leisure,auriflama,11
telephony,arroio do meio,11
baby,afonso claudio,11
electronics,xinguara,10
health_beauty,xaxim,10
bed_bath_table,vila valerio,10
sports_leisure,valente,10
sports_leisure,urussanga,10
luggage_accessories,tres cachoeiras,10
watches_gifts,taua,10
toys,taruma,10
bed_bath_table,taquaritinga do norte,10
perfumery,sumidouro,10
furniture_decor,siqueira campos,10
sports_leisure,sao miguel do iguacu,10
baby,sao marcos,10
garden_tools,sao luis de montes belos,10
pet_shop,sao lourenco do oeste,10
musical_instruments,sao joaquim de bicas,10
housewares,santo augusto,10
sports_leisure,santo antonio do jacinto,10
telephony,santa juliana,10
musical_instruments,santa helena de goias,10
watches_gifts,rubiataba,10
audio,rolante,10
construction_tools_construction,resplendor,10
auto,queimadas,10
stationery,primavera,10
computers_accessories,porciuncula,10
furniture_decor,piratininga,10
