Status,Category,location,percentage_per_category
canceled,fashion_bolsas_e_acessorios,osasco,0.18214936247723132
canceled,fashion_bolsas_e_acessorios,varginha,0.18214936247723132
canceled,fashion_calcados,guarulhos,0.18214936247723132
canceled,fashion_calcados,sao paulo,0.18214936247723132
canceled,fashion_roupa_masculina,sao paulo,0.18214936247723132
canceled,ferramentas_jardim,barra do pirai,0.18214936247723132
canceled,ferramentas_jardim,curitiba,0.18214936247723132
canceled,ferramentas_jardim,goiania,0.18214936247723132
canceled,ferramentas_jardim,mogi das cruzes,0.18214936247723132
canceled,ferramentas_jardim,monte mor,0.18214936247723132
canceled,ferramentas_jardim,piracicaba,0.18214936247723132
canceled,ferramentas_jardim,porto alegre,1.092896174863388
canceled,ferramentas_jardim,recife,0.18214936247723132
canceled,ferramentas_jardim,rio bonito,0.18214936247723132
canceled,ferramentas_jardim,santo andre,0.18214936247723132
canceled,ferramentas_jardim,sao paulo,0.18214936247723132
canceled,ferramentas_jardim,taboao da serra,0.36429872495446264
canceled,ferramentas_jardim,timoteo,0.18214936247723132
canceled,fraldas_higiene,sao paulo,0.18214936247723132
canceled,informatica_acessorios,araguaina,0.18214936247723132
canceled,informatica_acessorios,araraquara,0.18214936247723132
canceled,informatica_acessorios,araxa,0.18214936247723132
canceled,informatica_acessorios,belo horizonte,0.18214936247723132
canceled,informatica_acessorios,borborema,0.18214936247723132
canceled,informatica_acessorios,brasilia,0.9107468123861566
canceled,informatica_acessorios,camamu,0.18214936247723132
canceled,informatica_acessorios,campinas,0.546448087431694
canceled,informatica_acessorios,carapicuiba,0.18214936247723132
canceled,informatica_acessorios,curitiba,0.36429872495446264
canceled,informatica_acessorios,divinopolis,0.18214936247723132
canceled,informatica_acessorios,florianopolis,0.18214936247723132
canceled,informatica_acessorios,fortaleza,0.18214936247723132
canceled,informatica_acessorios,francisco morato,0.18214936247723132
canceled,informatica_acessorios,guarulhos,0.36429872495446264
canceled,informatica_acessorios,maringa,0.36429872495446264
canceled,informatica_acessorios,mogi das cruzes,0.18214936247723132
canceled,informatica_acessorios,monte carmelo,0.18214936247723132
canceled,informatica_acessorios,muriae,0.18214936247723132
canceled,informatica_acessorios,niteroi,0.18214936247723132
canceled,informatica_acessorios,praia grande,0.18214936247723132
canceled,informatica_acessorios,rio de janeiro,0.18214936247723132
canceled,informatica_acessorios,sao goncalo,0.18214936247723132
canceled,informatica_acessorios,sao paulo,2.0036429872495445
canceled,informatica_acessorios,sumare,0.18214936247723132
canceled,informatica_acessorios,uberaba,0.18214936247723132
canceled,informatica_acessorios,vila velha,0.18214936247723132
