Status,location,percentage_per_category
canceled,rio das ostras,0.546448087431694
canceled,rio de janeiro,6.193078324225866
canceled,rio grande,0.18214936247723132
canceled,rio grande da serra,0.18214936247723132
canceled,salto,0.18214936247723132
canceled,salvador,0.7285974499089253
canceled,santa cruz do capibaribe,0.18214936247723132
canceled,santana de parnaiba,1.092896174863388
canceled,santo andre,1.092896174863388
canceled,santo antonio de padua,0.546448087431694
canceled,sao bernardo do campo,1.2750455373406193
canceled,sao caetano do sul,0.18214936247723132
canceled,sao carlos,1.2750455373406193
canceled,sao goncalo,0.18214936247723132
canceled,sao joao de meriti,0.18214936247723132
canceled,sao jose do rio preto,0.18214936247723132
canceled,sao jose dos campos,0.546448087431694
canceled,sao leopoldo,0.18214936247723132
canceled,sao luis,0.546448087431694
canceled,sao manuel,0.18214936247723132
